Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    10  HI.gg9   0.25  18-Mar-2002     01-Apr-2002   O        15         0.43
    10  HI.gg9   0.25  02-Apr-2002     08-Nov-2002   U       221         0.03
    10  HI.gg9   0.25  09-Nov-2002     26-Nov-2002   O        18         2.05
    10  HI.gg9   0.25  27-Nov-2002     11-Dec-2002   U        15         0.14
    10  HI.gg9   0.25  12-Dec-2002     13-Dec-2002   O         2         0.29
    10  HI.gg9   0.25  14-Dec-2002     15-Dec-2002   U         2         0.25
    10  HI.gg9   0.25  16-Dec-2002     10-Feb-2003   O        57         1.76
    10  HI.gg9   0.25  11-Feb-2003     13-Feb-2003   U         3         0.24
    10  HI.gg9   0.25  14-Feb-2003     26-May-2003   O       102         0.83
    10  HI.gg9   0.25  27-May-2003     03-Nov-2003   U       161         0.02
    10  HI.gg9   0.25  05-Nov-2003     07-Nov-2003   U         3         0.18
    10  HI.gg9   0.25  10-Nov-2003     13-Nov-2003   O         4         0.35
    10  HI.gg9   0.25  14-Nov-2003     15-Nov-2003   U         2         0.22
    10  HI.gg9   0.25  17-Nov-2003     02-Dec-2003   U        16         0.12
    10  HI.gg9   0.25  03-Dec-2003     05-Dec-2003   O         3         0.32
